"tab_code","表章項目","cat01_code","H24_産業分類","area_code","H24_地域","time_code","時間軸","unit","value"
"811","事業所数","13835","小売業計","03208","遠野市","2012000000","2012年","","275"
"811","事業所数","13835","小売業計","03209","一関市","2012000000","2012年","","1118"
"811","事業所数","13835","小売業計","03210","陸前高田市","2012000000","2012年","","72"
"811","事業所数","13835","小売業計","03211","釜石市","2012000000","2012年","","242"
"811","事業所数","13835","小売業計","03213","二戸市","2012000000","2012年","","306"
"811","事業所数","13835","小売業計","03214","八幡平市","2012000000","2012年","","244"
"811","事業所数","13835","小売業計","03215","奥州市","2012000000","2012年","","1061"
"811","事業所数","13835","小売業計","03002","岩手県郡部","2012000000","2012年","","2011"
"811","事業所数","13835","小売業計","04000","宮城県","2012000000","2012年","","13571"
"811","事業所数","13835","小売業計","04001","宮城県市部","2012000000","2012年","","5861"
"811","事業所数","13835","小売業計","04100","仙台市","2012000000","2012年","","5290"
"811","事業所数","13835","小売業計","04101","青葉区","2012000000","2012年","","1923"
"811","事業所数","13835","小売業計","04102","宮城野区","2012000000","2012年","","880"
"811","事業所数","13835","小売業計","04103","若林区","2012000000","2012年","","647"
"811","事業所数","13835","小売業計","04104","太白区","2012000000","2012年","","885"
"811","事業所数","13835","小売業計","04105","泉区","2012000000","2012年","","955"
"811","事業所数","13835","小売業計","04202","石巻市","2012000000","2012年","","850"
"811","事業所数","13835","小売業計","04203","塩竈市","2012000000","2012年","","410"
"811","事業所数","13835","小売業計","04205","気仙沼市","2012000000","2012年","","378"
"811","事業所数","13835","小売業計","04206","白石市","2012000000","2012年","","301"
"811","事業所数","13835","小売業計","04207","名取市","2012000000","2012年","","393"
"811","事業所数","13835","小売業計","04208","角田市","2012000000","2012年","","242"
"811","事業所数","13835","小売業計","04209","多賀城市","2012000000","2012年","","265"
"811","事業所数","13835","小売業計","04211","岩沼市","2012000000","2012年","","237"
"811","事業所数","13835","小売業計","04212","登米市","2012000000","2012年","","799"
"811","事業所数","13835","小売業計","04213","栗原市","2012000000","2012年","","739"
"811","事業所数","13835","小売業計","04214","東松島市","2012000000","2012年","","156"
"811","事業所数","13835","小売業計","04215","大崎市","2012000000","2012年","","1091"
"811","事業所数","13835","小売業計","04002","宮城県郡部","2012000000","2012年","","2420"
"811","事業所数","13835","小売業計","05000","秋田県","2012000000","2012年","","9312"
"811","事業所数","13835","小売業計","05001","秋田県市部","2012000000","2012年","","8400"
"811","事業所数","13835","小売業計","05201","秋田市","2012000000","2012年","","2174"
"811","事業所数","13835","小売業計","05202","能代市","2012000000","2012年","","568"
"811","事業所数","13835","小売業計","05203","横手市","2012000000","2012年","","1008"
"811","事業所数","13835","小売業計","05204","大館市","2012000000","2012年","","687"
"811","事業所数","13835","小売業計","05206","男鹿市","2012000000","2012年","","284"
"811","事業所数","13835","小売業計","05207","湯沢市","2012000000","2012年","","538"
"811","事業所数","13835","小売業計","05209","鹿角市","2012000000","2012年","","336"
"811","事業所数","13835","小売業計","05210","由利本荘市","2012000000","2012年","","764"
"811","事業所数","13835","小売業計","05211","潟上市","2012000000","2012年","","195"
"811","事業所数","13835","小売業計","05212","大仙市","2012000000","2012年","","931"
"811","事業所数","13835","小売業計","05213","北秋田市","2012000000","2012年","","348"
"811","事業所数","13835","小売業計","05214","にかほ市","2012000000","2012年","","244"
"811","事業所数","13835","小売業計","05215","仙北市","2012000000","2012年","","323"
"811","事業所数","13835","小売業計","05002","秋田県郡部","2012000000","2012年","","912"
"811","事業所数","13835","小売業計","06000","山形県","2012000000","2012年","","10109"
"811","事業所数","13835","小売業計","06001","山形県市部","2012000000","2012年","","7993"
"811","事業所数","13835","小売業計","06201","山形市","2012000000","2012年","","1955"
"811","事業所数","13835","小売業計","06202","米沢市","2012000000","2012年","","723"
"811","事業所数","13835","小売業計","06203","鶴岡市","2012000000","2012年","","1285"
"811","事業所数","13835","小売業計","06204","酒田市","2012000000","2012年","","1025"
"811","事業所数","13835","小売業計","06205","新庄市","2012000000","2012年","","402"
"811","事業所数","13835","小売業計","06206","寒河江市","2012000000","2012年","","332"
"811","事業所数","13835","小売業計","06207","上山市","2012000000","2012年","","299"
"811","事業所数","13835","小売業計","06208","村山市","2012000000","2012年","","248"
"811","事業所数","13835","小売業計","06209","長井市","2012000000","2012年","","323"
"811","事業所数","13835","小売業計","06210","天童市","2012000000","2012年","","493"
"811","事業所数","13835","小売業計","06211","東根市","2012000000","2012年","","349"
"811","事業所数","13835","小売業計","06212","尾花沢市","2012000000","2012年","","209"
"811","事業所数","13835","小売業計","06213","南陽市","2012000000","2012年","","350"
"811","事業所数","13835","小売業計","06002","山形県郡部","2012000000","2012年","","2116"
"811","事業所数","13835","小売業計","07000","福島県","2012000000","2012年","","14303"
"811","事業所数","13835","小売業計","07001","福島県市部","2012000000","2012年","","11231"
"811","事業所数","13835","小売業計","07201","福島市","2012000000","2012年","","1980"
"811","事業所数","13835","小売業計","07202","会津若松市","2012000000","2012年","","1018"
"811","事業所数","13835","小売業計","07203","郡山市","2012000000","2012年","","2139"
"811","事業所数","13835","小売業計","07204","いわき市","2012000000","2012年","","2217"
"811","事業所数","13835","小売業計","07205","白河市","2012000000","2012年","","503"
"811","事業所数","13835","小売業計","07207","須賀川市","2012000000","2012年","","517"
"811","事業所数","13835","小売業計","07208","喜多方市","2012000000","2012年","","549"
"811","事業所数","13835","小売業計","07209","相馬市","2012000000","2012年","","292"
"811","事業所数","13835","小売業計","07210","二本松市","2012000000","2012年","","487"
"811","事業所数","13835","小売業計","07211","田村市","2012000000","2012年","","379"
"811","事業所数","13835","小売業計","07212","南相馬市","2012000000","2012年","","371"
"811","事業所数","13835","小売業計","07213","伊達市","2012000000","2012年","","521"
"811","事業所数","13835","小売業計","07214","本宮市","2012000000","2012年","","258"
"811","事業所数","13835","小売業計","07002","福島県郡部","2012000000","2012年","","3072"
"811","事業所数","13835","小売業計","08000","茨城県","2012000000","2012年","","19041"
"811","事業所数","13835","小売業計","08001","茨城県市部","2012000000","2012年","","17089"
"811","事業所数","13835","小売業計","08201","水戸市","2012000000","2012年","","1886"
"811","事業所数","13835","小売業計","08202","日立市","2012000000","2012年","","1153"
"811","事業所数","13835","小売業計","08203","土浦市","2012000000","2012年","","983"
"811","事業所数","13835","小売業計","08204","古河市","2012000000","2012年","","986"
"811","事業所数","13835","小売業計","08205","石岡市","2012000000","2012年","","539"
"811","事業所数","13835","小売業計","08207","結城市","2012000000","2012年","","359"
"811","事業所数","13835","小売業計","08208","龍ケ崎市","2012000000","2012年","","440"
"811","事業所数","13835","小売業計","08210","下妻市","2012000000","2012年","","425"
"811","事業所数","13835","小売業計","08211","常総市","2012000000","2012年","","481"
"811","事業所数","13835","小売業計","08212","常陸太田市","2012000000","2012年","","365"
"811","事業所数","13835","小売業計","08214","高萩市","2012000000","2012年","","231"
"811","事業所数","13835","小売業計","08215","北茨城市","2012000000","2012年","","311"
"811","事業所数","13835","小売業計","08216","笠間市","2012000000","2012年","","661"
"811","事業所数","13835","小売業計","08217","取手市","2012000000","2012年","","541"
"811","事業所数","13835","小売業計","08219","牛久市","2012000000","2012年","","346"
"811","事業所数","13835","小売業計","08220","つくば市","2012000000","2012年","","1147"
"811","事業所数","13835","小売業計","08221","ひたちなか市","2012000000","2012年","","884"
"811","事業所数","13835","小売業計","08222","鹿嶋市","2012000000","2012年","","375"
"811","事業所数","13835","小売業計","08223","潮来市","2012000000","2012年","","239"
"811","事業所数","13835","小売業計","08224","守谷市","2012000000","2012年","","290"
"811","事業所数","13835","小売業計","08225","常陸大宮市","2012000000","2012年","","402"
"811","事業所数","13835","小売業計","08226","那珂市","2012000000","2012年","","322"
"811","事業所数","13835","小売業計","08227","筑西市","2012000000","2012年","","763"
"811","事業所数","13835","小売業計","08228","坂東市","2012000000","2012年","","436"
"811","事業所数","13835","小売業計","08229","稲敷市","2012000000","2012年","","338"
"811","事業所数","13835","小売業計","08230","かすみがうら市","2012000000","2012年","","197"
"811","事業所数","13835","小売業計","08231","桜川市","2012000000","2012年","","382"
"811","事業所数","13835","小売業計","08232","神栖市","2012000000","2012年","","537"
"811","事業所数","13835","小売業計","08233","行方市","2012000000","2012年","","272"
"811","事業所数","13835","小売業計","08234","鉾田市","2012000000","2012年","","333"
"811","事業所数","13835","小売業計","08235","つくばみらい市","2012000000","2012年","","202"
"811","事業所数","13835","小売業計","08236","小美玉市","2012000000","2012年","","263"
"811","事業所数","13835","小売業計","08002","茨城県郡部","2012000000","2012年","","1952"
"811","事業所数","13835","小売業計","09000","栃木県","2012000000","2012年","","13808"
"811","事業所数","13835","小売業計","09001","栃木県市部","2012000000","2012年","","12023"
"811","事業所数","13835","小売業計","09201","宇都宮市","2012000000","2012年","","2907"
"811","事業所数","13835","小売業計","09202","足利市","2012000000","2012年","","1281"
"811","事業所数","13835","小売業計","09203","栃木市","2012000000","2012年","","1069"
"811","事業所数","13835","小売業計","09204","佐野市","2012000000","2012年","","1107"
"811","事業所数","13835","小売業計","09205","鹿沼市","2012000000","2012年","","736"
"811","事業所数","13835","小売業計","09206","日光市","2012000000","2012年","","836"
"811","事業所数","13835","小売業計","09208","小山市","2012000000","2012年","","978"
"811","事業所数","13835","小売業計","09209","真岡市","2012000000","2012年","","593"
"811","事業所数","13835","小売業計","09210","大田原市","2012000000","2012年","","560"
"811","事業所数","13835","小売業計","09211","矢板市","2012000000","2012年","","261"
"811","事業所数","13835","小売業計","09213","那須塩原市","2012000000","2012年","","833"
"811","事業所数","13835","小売業計","09214","さくら市","2012000000","2012年","","292"
"811","事業所数","13835","小売業計","09215","那須烏山市","2012000000","2012年","","254"
"811","事業所数","13835","小売業計","09216","下野市","2012000000","2012年","","316"
"811","事業所数","13835","小売業計","09002","栃木県郡部","2012000000","2012年","","1785"
"811","事業所数","13835","小売業計","10000","群馬県","2012000000","2012年","","13837"
"811","事業所数","13835","小売業計","10001","群馬県市部","2012000000","2012年","","11822"
"811","事業所数","13835","小売業計","10201","前橋市","2012000000","2012年","","2344"
"811","事業所数","13835","小売業計","10202","高崎市","2012000000","2012年","","2413"
"811","事業所数","13835","小売業計","10203","桐生市","2012000000","2012年","","1003"
"811","事業所数","13835","小売業計","10204","伊勢崎市","2012000000","2012年","","1303"
"811","事業所数","13835","小売業計","10205","太田市","2012000000","2012年","","1316"
"811","事業所数","13835","小売業計","10206","沼田市","2012000000","2012年","","545"
