"cat01_code","確報・集計項目","cat02_code","産業分類","area_code","区市郡","unit","value"
"010000000","事業所数","2","小売業計","05203","横手市","","1407"
"010000000","事業所数","2","小売業計","05204","大館市","","907"
"010000000","事業所数","2","小売業計","05206","男鹿市","","427"
"010000000","事業所数","2","小売業計","05207","湯沢市","","732"
"010000000","事業所数","2","小売業計","05209","鹿角市","","435"
"010000000","事業所数","2","小売業計","05210","由利本荘市","","1086"
"010000000","事業所数","2","小売業計","05211","潟上市","","286"
"010000000","事業所数","2","小売業計","05212","大仙市","","1224"
"010000000","事業所数","2","小売業計","05213","北秋田市","","477"
"010000000","事業所数","2","小売業計","05214","にかほ市","","348"
"010000000","事業所数","2","小売業計","05215","仙北市","","442"
"010000000","事業所数","2","小売業計","06000","山形県","","13710"
"010000000","事業所数","2","小売業計","06201","山形市","","2772"
"010000000","事業所数","2","小売業計","06202","米沢市","","1016"
"010000000","事業所数","2","小売業計","06203","鶴岡市","","1738"
"010000000","事業所数","2","小売業計","06204","酒田市","","1417"
"010000000","事業所数","2","小売業計","06205","新庄市","","578"
"010000000","事業所数","2","小売業計","06206","寒河江市","","468"
"010000000","事業所数","2","小売業計","06207","上山市","","377"
"010000000","事業所数","2","小売業計","06208","村山市","","315"
"010000000","事業所数","2","小売業計","06209","長井市","","403"
"010000000","事業所数","2","小売業計","06210","天童市","","634"
"010000000","事業所数","2","小売業計","06211","東根市","","450"
"010000000","事業所数","2","小売業計","06212","尾花沢市","","262"
"010000000","事業所数","2","小売業計","06213","南陽市","","446"
"010000000","事業所数","2","小売業計","07000","福島県","","21255"
"010000000","事業所数","2","小売業計","07201","福島市","","2666"
"010000000","事業所数","2","小売業計","07202","会津若松市","","1515"
"010000000","事業所数","2","小売業計","07203","郡山市","","3031"
"010000000","事業所数","2","小売業計","07204","いわき市","","3327"
"010000000","事業所数","2","小売業計","07205","白河市","","659"
"010000000","事業所数","2","小売業計","07207","須賀川市","","710"
"010000000","事業所数","2","小売業計","07208","喜多方市","","746"
"010000000","事業所数","2","小売業計","07209","相馬市","","483"
"010000000","事業所数","2","小売業計","07210","二本松市","","642"
"010000000","事業所数","2","小売業計","07211","田村市","","524"
"010000000","事業所数","2","小売業計","07212","南相馬市","","785"
"010000000","事業所数","2","小売業計","07213","伊達市","","701"
"010000000","事業所数","2","小売業計","07214","本宮市","","301"
"010000000","事業所数","2","小売業計","08000","茨城県","","25414"
"010000000","事業所数","2","小売業計","08201","水戸市","","2552"
"010000000","事業所数","2","小売業計","08202","日立市","","1622"
"010000000","事業所数","2","小売業計","08203","土浦市","","1313"
"010000000","事業所数","2","小売業計","08204","古河市","","1365"
"010000000","事業所数","2","小売業計","08205","石岡市","","720"
"010000000","事業所数","2","小売業計","08207","結城市","","505"
"010000000","事業所数","2","小売業計","08208","龍ケ崎市","","573"
"010000000","事業所数","2","小売業計","08210","下妻市","","485"
"010000000","事業所数","2","小売業計","08211","常総市","","712"
"010000000","事業所数","2","小売業計","08212","常陸太田市","","515"
"010000000","事業所数","2","小売業計","08214","高萩市","","350"
"010000000","事業所数","2","小売業計","08215","北茨城市","","432"
"010000000","事業所数","2","小売業計","08216","笠間市","","852"
"010000000","事業所数","2","小売業計","08217","取手市","","791"
"010000000","事業所数","2","小売業計","08219","牛久市","","512"
"010000000","事業所数","2","小売業計","08220","つくば市","","1435"
"010000000","事業所数","2","小売業計","08221","ひたちなか市","","1240"
"010000000","事業所数","2","小売業計","08222","鹿嶋市","","505"
"010000000","事業所数","2","小売業計","08223","潮来市","","316"
"010000000","事業所数","2","小売業計","08224","守谷市","","351"
"010000000","事業所数","2","小売業計","08225","常陸大宮市","","561"
"010000000","事業所数","2","小売業計","08226","那珂市","","431"
"010000000","事業所数","2","小売業計","08227","筑西市","","1035"
"010000000","事業所数","2","小売業計","08228","坂東市","","496"
"010000000","事業所数","2","小売業計","08229","稲敷市","","461"
"010000000","事業所数","2","小売業計","08230","かすみがうら市","","251"
"010000000","事業所数","2","小売業計","08231","桜川市","","470"
"010000000","事業所数","2","小売業計","08232","神栖市","","713"
"010000000","事業所数","2","小売業計","08233","行方市","","326"
"010000000","事業所数","2","小売業計","08234","鉾田市","","418"
"010000000","事業所数","2","小売業計","08235","つくばみらい市","","247"
"010000000","事業所数","2","小売業計","08236","小美玉市","","358"
"010000000","事業所数","2","小売業計","09000","栃木県","","19016"
"010000000","事業所数","2","小売業計","09201","宇都宮市","","4219"
"010000000","事業所数","2","小売業計","09202","足利市","","1755"
"010000000","事業所数","2","小売業計","09203","栃木市","","964"
"010000000","事業所数","2","小売業計","09204","佐野市","","1595"
"010000000","事業所数","2","小売業計","09205","鹿沼市","","956"
"010000000","事業所数","2","小売業計","09206","日光市","","1144"
"010000000","事業所数","2","小売業計","09208","小山市","","1320"
"010000000","事業所数","2","小売業計","09209","真岡市","","664"
